id,name,name1,name2,name3,depth,name1Id,name2Id,name3Id,region_slug,in_param_example
1946,강남동,강원특별자치도,강릉시,강남동,3,1873,1927,1946,강남동-1946,in=강남동-1946
1932,강동면,강원특별자치도,강릉시,강동면,3,1873,1927,1932,강동면-1932,in=강동면-1932
4251,강문동,강원특별자치도,강릉시,강문동,3,1873,1927,4251,강문동-4251,in=강문동-4251
4252,견소동,강원특별자치도,강릉시,견소동,3,1873,1927,4252,견소동-4252,in=견소동-4252
1948,경포동,강원특별자치도,강릉시,경포동,3,1873,1927,1948,경포동-1948,in=경포동-1948
1939,교1동,강원특별자치도,강릉시,교1동,3,1873,1927,1939,교1동-1939,in=교1동-1939
1940,교2동,강원특별자치도,강릉시,교2동,3,1873,1927,1940,교2동-1940,in=교2동-1940
4253,교동,강원특별자치도,강릉시,교동,3,1873,1927,4253,교동-4253,in=교동-4253
1931,구정면,강원특별자치도,강릉시,구정면,3,1873,1927,1931,구정면-1931,in=구정면-1931
4254,금학동,강원특별자치도,강릉시,금학동,3,1873,1927,4254,금학동-4254,in=금학동-4254
4255,난곡동,강원특별자치도,강릉시,난곡동,3,1873,1927,4255,난곡동-4255,in=난곡동-4255
4256,남문동,강원특별자치도,강릉시,남문동,3,1873,1927,4256,남문동-4256,in=남문동-4256
4257,남항진동,강원특별자치도,강릉시,남항진동,3,1873,1927,4257,남항진동-4257,in=남항진동-4257
1945,내곡동,강원특별자치도,강릉시,내곡동,3,1873,1927,1945,내곡동-1945,in=내곡동-1945
4258,노암동,강원특별자치도,강릉시,노암동,3,1873,1927,4258,노암동-4258,in=노암동-4258
4259,담산동,강원특별자치도,강릉시,담산동,3,1873,1927,4259,담산동-4259,in=담산동-4259
4260,대전동,강원특별자치도,강릉시,대전동,3,1873,1927,4260,대전동-4260,in=대전동-4260
4261,두산동,강원특별자치도,강릉시,두산동,3,1873,1927,4261,두산동-4261,in=두산동-4261
4262,명주동,강원특별자치도,강릉시,명주동,3,1873,1927,4262,명주동-4262,in=명주동-4262
4263,박월동,강원특별자치도,강릉시,박월동,3,1873,1927,4263,박월동-4263,in=박월동-4263
4264,병산동,강원특별자치도,강릉시,병산동,3,1873,1927,4264,병산동-4264,in=병산동-4264
1934,사천면,강원특별자치도,강릉시,사천면,3,1873,1927,1934,사천면-1934,in=사천면-1934
4265,성남동,강원특별자치도,강릉시,성남동,3,1873,1927,4265,성남동-4265,in=성남동-4265
4266,성내동,강원특별자치도,강릉시,성내동,3,1873,1927,4266,성내동-4266,in=성내동-4266
1947,성덕동,강원특별자치도,강릉시,성덕동,3,1873,1927,1947,성덕동-1947,in=성덕동-1947
1929,성산면,강원특별자치도,강릉시,성산면,3,1873,1927,1929,성산면-1929,in=성산면-1929
1944,송정동,강원특별자치도,강릉시,송정동,3,1873,1927,1944,송정동-1944,in=송정동-1944
4267,신석동,강원특별자치도,강릉시,신석동,3,1873,1927,4267,신석동-4267,in=신석동-4267
4268,안현동,강원특별자치도,강릉시,안현동,3,1873,1927,4268,안현동-4268,in=안현동-4268
1935,연곡면,강원특별자치도,강릉시,연곡면,3,1873,1927,1935,연곡면-1935,in=연곡면-1935
1933,옥계면,강원특별자치도,강릉시,옥계면,3,1873,1927,1933,옥계면-1933,in=옥계면-1933
1938,옥천동,강원특별자치도,강릉시,옥천동,3,1873,1927,1938,옥천동-1938,in=옥천동-1938
1930,왕산면,강원특별자치도,강릉시,왕산면,3,1873,1927,1930,왕산면-1930,in=왕산면-1930
4269,용강동,강원특별자치도,강릉시,용강동,3,1873,1927,4269,용강동-4269,in=용강동-4269
4270,운산동,강원특별자치도,강릉시,운산동,3,1873,1927,4270,운산동-4270,in=운산동-4270
